date,code,action,reason,price,shares,pnl_pct
2024-06-03,600727.SH,卖出,死叉,6.92,100,-0.717360114777621
2024-06-03,300626.SZ,卖出,止损,7.42,100,-6.431273644388391
2024-06-03,300670.SZ,卖出,止损,6.24,100,-6.726457399103136
2024-06-03,000702.SZ,买入,金叉,5.53,100,0.0
2024-06-03,000520.SZ,买入,金叉,3.3,300,0.0
2024-06-04,000899.SZ,卖出,死叉,10.73,100,9.044715447154484
2024-06-04,300249.SZ,卖出,死叉,6.55,100,-8.13464235624124
2024-06-04,300265.SZ,买入,金叉,8.57,100,0.0
2024-06-04,600719.SH,买入,金叉,9.29,100,0.0
2024-06-05,300265.SZ,卖出,止损,7.8,100,-8.984830805134191
2024-06-05,300647.SZ,买入,金叉,6.0,100,0.0
2024-06-06,001696.SZ,卖出,死叉,12.23,100,39.77142857142857
2024-06-06,000702.SZ,卖出,止损,4.86,100,-12.115732368896925
2024-06-06,300647.SZ,卖出,止损,5.43,100,-9.500000000000009
2024-06-06,300290.SZ,买入,金叉,10.55,100,0.0
2024-06-06,000560.SZ,买入,金叉,2.44,400,0.0
2024-06-07,600968.SH,卖出,死叉,4.12,200,-2.369668246445489
2024-06-07,002264.SZ,卖出,死叉,5.85,100,0.8620689655172376
2024-06-07,300637.SZ,买入,金叉,9.81,100,0.0
2024-06-07,600996.SH,买入,金叉,9.01,100,0.0
2024-06-11,000520.SZ,卖出,止损,3.01,300,-8.787878787878789
2024-06-11,002676.SZ,买入,金叉,5.23,100,0.0
2024-06-12,000839.SZ,卖出,止损,2.41,300,-11.721611721611714
2024-06-12,002856.SZ,买入,金叉,9.87,100,0.0
2024-06-13,000560.SZ,卖出,死叉,2.48,400,1.6393442622950838
2024-06-13,600996.SH,卖出,止损,8.01,100,-11.098779134295222
2024-06-13,600246.SH,买入,金叉,9.57,100,0.0
2024-06-13,600774.SH,买入,金叉,9.73,100,0.0
2024-06-14,002676.SZ,卖出,止损,4.61,100,-11.854684512428303
2024-06-14,300423.SZ,买入,金叉,6.85,100,0.0
2024-06-17,001979.SZ,卖出,死叉,9.72,100,-2.605210420841686
2024-06-17,300098.SZ,买入,金叉,4.23,200,0.0
2024-06-18,300647.SZ,买入,金叉,5.99,100,0.0
2024-06-19,600774.SH,卖出,止损,9.19,100,-5.54984583761563
2024-06-19,300423.SZ,卖出,止损,6.3,100,-8.029197080291972
2024-06-19,300903.SZ,买入,金叉,8.88,100,0.0
2024-06-20,601009.SH,卖出,死叉,9.83,100,16.607354685646513
2024-06-20,300647.SZ,卖出,止损,5.42,100,-9.515859766277135
2024-06-20,300270.SZ,买入,金叉,7.35,100,0.0
2024-06-20,300423.SZ,买入,金叉,6.35,100,0.0
2024-06-21,002496.SZ,卖出,死叉,2.44,400,7.488986784140961
2024-06-21,002856.SZ,卖出,止损,8.84,100,-10.43566362715298
2024-06-21,300903.SZ,卖出,止损,8.02,100,-9.684684684684697
2024-06-21,300270.SZ,卖出,止损,6.87,100,-6.530612244897949
2024-06-21,300423.SZ,卖出,止损,5.95,100,-6.299212598425186
2024-06-21,688319.SH,买入,金叉,10.25,100,0.0
2024-06-24,300290.SZ,卖出,止损,9.78,100,-7.298578199052141
2024-06-24,600246.SH,卖出,止损,8.87,100,-7.314524555903878
2024-06-24,688319.SH,卖出,止损,9.5,100,-7.317073170731703
2024-06-24,002654.SZ,买入,金叉,11.1,100,0.0
2024-06-24,300270.SZ,买入,金叉,6.7,100,0.0
2024-06-25,002766.SZ,买入,金叉,5.32,200,0.0
2024-06-25,002199.SZ,买入,金叉,6.74,100,0.0
2024-06-25,000829.SZ,买入,金叉,9.0,100,0.0
2024-06-26,002766.SZ,卖出,止损,4.96,200,-6.766917293233088
2024-06-26,002600.SZ,买入,金叉,6.06,100,0.0
2024-06-26,002198.SZ,买入,金叉,7.73,100,0.0
2024-06-27,000793.SZ,买入,金叉,1.26,800,0.0
2024-06-28,601777.SH,买入,金叉,3.84,200,0.0
2024-07-01,300637.SZ,卖出,死叉,9.29,100,-5.300713557594305
2024-07-01,300716.SZ,买入,金叉,8.62,100,0.0
2024-07-02,001267.SZ,卖出,死叉,5.25,200,7.14285714285714
2024-07-02,600719.SH,卖出,死叉,9.51,100,2.3681377825619077
2024-07-02,603838.SH,买入,金叉,6.41,100,0.0
2024-07-02,600421.SH,买入,金叉,7.05,100,0.0
2024-07-03,300270.SZ,卖出,止损,6.26,100,-6.567164179104479
2024-07-03,002199.SZ,卖出,止损,6.32,100,-6.231454005934722
2024-07-03,000829.SZ,卖出,止损,8.32,100,-7.555555555555548
2024-07-03,601777.SH,卖出,止损,3.55,200,-7.5520833333333375
2024-07-03,300716.SZ,卖出,止损,7.85,100,-8.932714617169369
2024-07-03,300417.SZ,买入,金叉,8.65,100,0.0
2024-07-03,300716.SZ,买入,金叉,7.85,100,0.0
2024-07-03,002199.SZ,买入,金叉,6.32,100,0.0
2024-07-04,002654.SZ,卖出,死叉,10.37,100,-6.576576576576576
2024-07-04,603838.SH,卖出,止损,5.88,100,-8.268330733229334
2024-07-04,600421.SH,卖出,止损,6.67,100,-5.390070921985812
2024-07-04,300417.SZ,卖出,止损,7.91,100,-8.554913294797695
2024-07-04,002199.SZ,卖出,止损,5.91,100,-6.4873417721519
2024-07-04,603256.SH,买入,金叉,8.5,100,0.0
2024-07-04,600421.SH,买入,金叉,6.67,100,0.0
2024-07-04,300245.SZ,买入,金叉,6.35,100,0.0
2024-07-04,300283.SZ,买入,金叉,5.42,100,0.0
2024-07-05,603256.SH,卖出,止损,7.65,100,-9.999999999999998
2024-07-05,300283.SZ,卖出,止损,5.08,100,-6.273062730627299
2024-07-05,002420.SZ,买入,金叉,5.31,200,0.0
