date,code,strategy,reason,pnl
2024-11-04,600776.SH,红利低波,调仓,-1.2626262626262652
2024-11-04,688786.SH,红利低波,买入,0.0
2024-11-04,300251.SZ,红利低波,买入,0.0
2024-11-11,601567.SH,红利低波,止损,-12.955001433075374
2024-11-11,002043.SZ,红利低波,调仓,23.377960865087523
2024-11-11,300697.SZ,红利低波,买入,0.0
2024-11-11,300529.SZ,红利低波,买入,0.0
2024-11-18,300697.SZ,红利低波,止损,-14.977973568281932
2024-11-18,600506.SH,红利低波,调仓,2.6275115919629055
2024-11-18,300660.SZ,红利低波,买入,0.0
2024-11-18,002043.SZ,红利低波,买入,0.0
2024-11-25,003041.SZ,红利低波,调仓,67.76061776061778
2024-11-25,300660.SZ,红利低波,调仓,6.584362139917688
2024-11-25,300181.SZ,红利低波,买入,0.0
2024-11-25,300697.SZ,红利低波,买入,0.0
2024-12-02,002580.SZ,红利低波,调仓,19.3166885676741
2024-12-02,002264.SZ,红利低波,调仓,49.416342412451364
2024-12-02,300697.SZ,红利低波,调仓,3.1197301854974713
2024-12-02,603868.SH,红利低波,买入,0.0
2024-12-09,300251.SZ,红利低波,调仓,8.342989571263026
2024-12-09,300697.SZ,红利低波,买入,0.0
2024-12-16,688513.SH,红利低波,止损,-12.317039491853077
2024-12-16,688786.SH,红利低波,调仓,0.9211053263916691
2024-12-16,688513.SH,红利低波,买入,0.0
2024-12-16,002897.SZ,红利低波,买入,0.0
2024-12-16,601567.SH,红利低波,买入,0.0
2024-12-23,002357.SZ,红利低波,调仓,52.72727272727271
2024-12-23,603868.SH,红利低波,调仓,3.2870370370370328
2024-12-23,688786.SH,红利低波,买入,0.0
2024-12-30,300697.SZ,红利低波,调仓,10.049833887043192
2024-12-30,688786.SH,红利低波,调仓,1.2913640032284013
2024-12-30,300251.SZ,红利低波,买入,0.0
2024-12-30,600776.SH,红利低波,买入,0.0
2025-01-02,300529.SZ,红利低波,止损,-13.237063778580026
2025-01-03,600776.SH,红利低波,止损,-12.756849315068497
2025-01-06,601567.SH,红利低波,止损,-12.584407612031912
2025-01-06,002897.SZ,红利低波,调仓,-7.827926657263751
2025-01-06,300529.SZ,红利低波,买入,0.0
2025-01-06,600776.SH,红利低波,买入,0.0
2025-01-06,601567.SH,红利低波,买入,0.0
2025-01-06,600763.SH,红利低波,买入,0.0
2025-01-06,688677.SH,红利低波,买入,0.0
2025-01-08,300181.SZ,红利低波,止损,-13.705275924802896
2025-01-13,688786.SH,红利低波,买入,0.0
2025-01-13,300181.SZ,红利低波,买入,0.0
2025-01-20,002357.SZ,红利低波,买入,0.0
2025-01-27,601567.SH,红利低波,调仓,6.846910112359539
2025-02-05,300251.SZ,红利低波,调仓,21.314952279957588
2025-02-10,002570.SZ,红利低波,买入,0.0
2025-02-17,605599.SH,红利低波,调仓,18.48049281314168
2025-02-17,300529.SZ,红利低波,调仓,-6.724738675958186
2025-02-17,688677.SH,红利低波,调仓,5.1081081081081114
2025-02-17,002264.SZ,红利低波,买入,0.0
2025-02-17,603868.SH,红利低波,买入,0.0
2025-02-24,603115.SH,红利低波,调仓,54.757085020242904
2025-02-24,002357.SZ,红利低波,调仓,21.91780821917808
2025-02-24,002570.SZ,红利低波,调仓,-1.5765765765765827
2025-02-24,301631.SZ,红利低波,买入,0.0
2025-02-24,601567.SH,红利低波,买入,0.0
2025-02-24,301580.SZ,红利低波,买入,0.0
2025-02-28,002264.SZ,红利低波,止损,-12.790697674418606
2025-03-03,600776.SH,红利低波,调仓,9.500489715964733
2025-03-03,600763.SH,红利低波,调仓,5.600743667208907
2025-03-03,688786.SH,红利低波,调仓,12.083152880034653
2025-03-03,301631.SZ,红利低波,调仓,15.70078740157481
2025-03-03,002570.SZ,红利低波,买入,0.0
2025-03-03,300529.SZ,红利低波,买入,0.0
2025-03-03,003041.SZ,红利低波,买入,0.0
2025-03-03,688677.SH,红利低波,买入,0.0
