open,close,open_next,open_next2,up_limit_next,vol_next,limit_up_t,oneword_next,ts_code,trade_date,T_intraday,overnight_gap,exec1
15.19,15.19,15.19,18.38,16.71,1299600.18,True,False,600843.SH,2024-10-29,0.0,0.0,0.21000658327847255
79.82,79.82,83.8,84.03,95.78,284932.74,True,False,300781.SZ,2024-10-29,0.0,0.0498621899273366,0.0027446300715991967
17.16,17.16,18.88,19.68,18.88,1604274.81,True,True,002312.SZ,2024-10-30,0.0,0.10023310023310006,0.04237288135593231
13.29,13.29,14.62,15.78,14.62,2097335.0,True,True,002416.SZ,2024-10-30,0.0,0.10007524454477057,0.07934336525307795
46.73,46.73,51.4,51.05,51.4,828192.37,True,True,600363.SH,2024-10-31,0.0,0.09993580141236902,-0.006809338521400754
8.88,8.95,8.96,8.69,9.85,51431.61,False,False,603135.SH,2024-10-31,0.007882882882882747,0.0011173184357544663,-0.030133928571428714
14.48,14.48,17.38,20.78,17.38,47035.22,True,True,300121.SZ,2024-11-01,0.0,0.20027624309392245,0.19562715765247418
8.23,8.23,9.05,9.96,9.05,130041.76,True,True,000795.SZ,2024-11-01,0.0,0.09963547995139743,0.10055248618784529
9.05,9.05,9.96,10.96,9.96,115723.8,True,True,000795.SZ,2024-11-04,0.0,0.10055248618784529,0.10040160642570273
17.38,17.38,20.78,19.66,20.86,1367190.9,True,False,300121.SZ,2024-11-04,0.0,0.19562715765247418,-0.05389797882579406
56.16,56.16,61.78,60.75,61.78,48493.28,True,True,600363.SH,2024-11-05,0.0,0.10007122507122523,-0.01667206215603756
9.96,9.96,10.96,12.06,10.96,57576.8,True,True,000795.SZ,2024-11-05,0.0,0.10040160642570273,0.10036496350364965
30.13,30.13,31.59,30.9,33.14,609154.57,True,False,603859.SH,2024-11-06,0.0,0.04845668768669098,-0.021842355175688555
10.96,10.96,12.06,12.0,12.06,2220970.42,True,True,000795.SZ,2024-11-06,0.0,0.10036496350364965,-0.004975124378109541
28.51,28.51,31.36,27.75,31.36,297681.74,True,True,603922.SH,2024-11-07,0.0,0.09996492458786377,-0.11511479591836737
7.15,7.15,7.87,7.08,7.87,2713878.95,True,True,000716.SZ,2024-11-07,0.0,0.10069930069930066,-0.10038119440914872
6.74,6.74,7.01,7.01,7.41,4178455.06,True,False,002510.SZ,2024-11-08,0.0,0.0400593471810089,0.0
7.17,7.17,7.17,6.29,7.89,1393218.89,True,False,603366.SH,2024-11-08,0.0,0.0,-0.12273361227336121
24.68,24.68,25.25,25.38,27.15,3043023.42,True,False,601698.SH,2024-11-11,0.0,0.02309562398703413,0.005148514851485153
14.42,14.42,17.3,20.69,17.3,21593.55,True,True,300277.SZ,2024-11-11,0.0,0.19972260748959791,0.1959537572254335
5.4,5.4,5.45,5.49,5.94,3109275.87,True,False,002165.SZ,2024-11-12,0.0,0.0092592592592593,0.007339449541284404
14.63,14.63,16.09,14.7,16.09,453704.65,True,True,002838.SZ,2024-11-12,0.0,0.09979494190020488,-0.08638906152890002
9.02,9.53,10.48,11.14,10.48,80608.68,True,True,000833.SZ,2024-11-13,0.05654101995565397,0.09968520461699915,0.06297709923664119
17.08,17.08,18.79,17.21,18.79,4036053.49,True,True,002402.SZ,2024-11-13,0.0,0.10011709601873542,-0.08408728046833414
10.48,10.48,11.14,12.68,11.53,469253.94,True,False,000833.SZ,2024-11-14,0.0,0.06297709923664119,0.13824057450628358
18.19,17.43,17.5,17.48,19.17,21825.3,False,False,605016.SH,2024-11-14,-0.041781198460692726,0.004016064257028162,-0.0011428571428571122
6.27,6.27,6.9,7.59,6.9,18943.52,True,True,000973.SZ,2024-11-15,0.0,0.10047846889952172,0.09999999999999987
4.58,4.48,4.52,4.43,4.93,101979.67,False,False,002666.SZ,2024-11-15,-0.02183406113537112,0.008928571428571175,-0.019911504424778736
6.9,6.9,7.59,8.35,7.59,92803.74,True,True,000973.SZ,2024-11-18,0.0,0.09999999999999987,0.10013175230566529
10.63,10.63,11.69,9.72,11.69,2240371.49,True,True,603366.SH,2024-11-18,0.0,0.09971777986829711,-0.16852010265183914
7.59,7.59,8.35,9.19,8.35,181220.02,True,True,000973.SZ,2024-11-19,0.0,0.10013175230566529,0.10059880239520957
22.44,22.44,23.99,22.55,24.68,549114.13,True,False,002824.SZ,2024-11-19,0.0,0.06907308377896593,-0.06002501042100872
24.88,24.88,26.0,22.0,27.37,266375.45,True,False,605028.SH,2024-11-20,0.0,0.045016077170418,-0.15384615384615385
15.35,15.35,16.89,18.5,16.89,35749.7,True,True,000833.SZ,2024-11-20,0.0,0.1003257328990228,0.09532267613972767
11.04,11.04,12.14,13.09,12.14,1484886.97,True,True,002469.SZ,2024-11-21,0.0,0.0996376811594204,0.07825370675453036
16.89,16.89,18.5,20.44,18.58,855079.92,True,False,000833.SZ,2024-11-21,0.0,0.09532267613972767,0.1048648648648649
11.68,11.68,12.85,14.14,12.85,43530.0,True,True,603015.SH,2024-11-22,0.0,0.10017123287671237,0.10038910505836585
12.38,12.38,13.62,12.52,13.62,315216.0,True,True,003036.SZ,2024-11-22,0.0,0.10016155088852985,-0.0807635829662261
10.38,10.38,11.42,9.12,11.42,990570.7,True,True,002117.SZ,2024-11-25,0.0,0.10019267822736011,-0.20140105078809112
12.85,12.85,14.14,12.73,14.14,1054110.14,True,True,603015.SH,2024-11-25,0.0,0.10038910505836585,-0.09971711456859977
22.26,22.26,22.04,18.8,24.49,887275.41,True,False,002155.SZ,2024-11-26,0.0,-0.009883198562443907,-0.147005444646098
