trade_date,e_lian,e_shou,n_lian,n_shou,e_lian_exec,pct_rank
2023-03-08,0.15485582792331004,0.010814074328624634,6,17,0.027076807920261438,0.5184268291816788
2023-03-09,0.12761568695310044,0.016639011622929856,8,19,0.04221348095450675,0.6178862001519247
2023-03-10,0.10567597999355635,0.010500039299661597,5,15,-0.028576968423435954,0.3830515761724657
2023-03-13,0.25987047529142004,0.023193056746681342,4,29,0.06544445390171484,0.4558888411631819
2023-03-14,0.08565274747615198,-0.014372102707408917,8,11,-0.13244489131434312,0.4188827710471647
2023-03-15,0.1404739060975924,0.006245362517906855,5,24,0.14837772237666103,0.5496668724677052
2023-03-16,0.04616577316711316,-0.0790362791568893,6,12,0.03512830962774677,0.4978499392987549
2023-03-17,-0.05959357248367253,0.0715081533313999,6,26,-0.1186264317888969,0.6043082968562624
2023-03-20,-0.0396583003357234,0.02920359062082873,7,14,-0.0036121579515798995,0.4167331255869324
2023-03-21,-0.01571185651146411,-0.013121211520094857,8,27,-0.029783079797717937,0.7084374621920033
2023-03-22,-0.08427843515323069,0.0408735448929761,3,26,-0.04834384336577659,0.2468792443309024
2023-03-23,-0.04345804128586696,-0.012879808336632815,5,15,-0.05583629307762797,0.268660651522971
2023-03-24,-0.08695878062822557,0.06269957380141469,2,18,-0.09221639906178442,0.2177012260450844
2023-03-27,0.06958755114182491,0.04095454780625371,6,30,0.06958755114182491,0.4729251688294564
2023-03-28,0.33134396819028994,-0.0065365899967627355,2,23,0.1780934081806822,0.0718567993844754
2023-03-29,0.2081086639922719,0.03241620193080512,3,14,0.07137282575378998,0.0940112331879355
2023-03-30,0.16186630580307346,0.01961383932483355,3,16,0.010586912841834144,0.343975337377117
2023-03-31,0.06636918679063229,0.0343319597463769,2,28,-0.15530503688625696,0.2959821831410879
2023-04-03,-0.008314136061415553,0.05456141977293973,2,39,-0.11087434030604,0.4041023384829212
2023-04-04,-0.021472338731499008,0.017285169709003727,6,18,-0.02247340927276019,0.366463738708041
2023-04-06,-0.04398830169039773,-0.011838183094161032,4,25,-0.04398830169039773,0.3684756060685005
2023-04-07,-0.11768444154333292,0.025787566803582056,3,43,-0.14112497906584248,0.4502914779942639
2023-04-10,-0.011138674597277342,0.019673491393116638,5,13,-0.011138674597277342,0.1069973008371635
2023-04-11,0.04963309211347576,0.0003272594131086625,4,26,-0.01673915084167018,0.4192275666136635
2023-04-12,0.07496459176895633,-0.00644479548170415,7,46,0.04849655614031732,0.5028123323513871
2023-04-13,0.08900586678699984,-0.009105575173175574,8,23,0.08603712018925379,0.2754388478108259
2023-04-14,0.016471864298403048,0.039405679362543376,3,28,0.016471864298403048,0.256413244873605
2023-04-17,0.008005603278927617,0.044167778978612966,2,31,0.008005603278927617,0.2138955450550537
2023-04-18,0.043711142000154635,0.1125499671125525,4,13,0.043711142000154635,0.168118221692656
2023-04-19,0.24254154728738886,0.04091219115683093,3,24,0.24254154728738886,0.2615963915983815
2023-04-20,0.10815437915736784,0.004311494703615047,3,30,0.10815437915736784,0.2755021895929276
2023-04-21,0.09480550722649894,0.025342333362885848,2,9,0.09480550722649894,0.0295878600222207
2023-04-24,0.007788459785502648,0.06006838795751816,3,31,0.007788459785502648,0.4906289849271654
2023-04-25,0.1401926817446346,0.016360946843312046,7,20,0.1401926817446346,0.3568678523465545
2023-04-26,0.14203344391202666,-0.01638073891312685,6,43,0.14203344391202666,0.4742993443807109
2023-04-27,-0.04584225595719184,0.011937718748080705,3,29,-0.04584225595719184,0.1956411778948591
2023-04-28,0.06359149590496022,0.04004153227040505,2,89,0.0009517913236507421,0.4298374145097127
2023-05-04,-0.00355924817718711,-0.005583188008434416,19,63,-0.013397167355406183,0.5816479534756203
2023-05-05,0.009959971001116626,-0.0027765481981288503,10,29,0.019801546748620582,0.3709491363194268
2023-05-08,-0.04808628156437116,-0.0074721972414208086,12,45,-0.05487931803091794,0.5756293093551663
2023-05-09,-0.0727891246030453,-0.06673535763624991,6,18,-0.0727891246030453,0.050780904452526
2023-05-10,0.06541249354404677,-0.022001165574132762,2,33,0.1500987301865624,0.249439116657292
2023-05-11,-0.10197407257880975,-0.0964663706518881,5,42,-0.10197407257880975,0.3968897986391136
2023-05-12,-0.1946928599641377,-0.0318633691817653,4,20,-0.24374697158853345,0.1435740143550821
2023-05-15,0.1069177952242464,-0.02525865880460912,3,34,0.1069177952242464,0.3746785440070559
