trade_date,e20_log,e20_exec_log,n_active,n_base,cov_codes,pct_rank
2024-03-21,-0.11438088137220179,-0.1278053383685344,69,3073,1.0,0.5238081913589402
2024-03-22,-0.12934754641186375,-0.15443992201014695,58,3100,1.0,0.308294702099683
2024-03-25,-0.12192399609738883,-0.13609953459767657,41,3152,1.0,0.2282760852656917
2024-03-26,-0.09989651961782885,-0.11546868263915101,60,3150,1.0,0.403828268515038
2024-03-27,-0.15112786534270706,-0.17746607866414846,40,3223,1.0,0.237033739965284
2024-03-28,-0.004503167160299502,-0.0004929563271048876,74,3181,1.0,0.3947234377216517
2024-03-29,-0.04646911348750931,-0.03542175442969923,65,3152,1.0,0.3557508669550738
2024-04-01,-0.030455161315464392,-0.021849591102573687,77,3102,1.0,0.4643795412881351
2024-04-02,-0.08767206889664081,-0.09915629776183274,57,3122,1.0,0.4076898825663815
2024-04-03,-0.10407274373380675,-0.09708270706746193,46,3136,1.0,0.295992055216776
2024-04-08,-0.11790322120465412,-0.10560061001278655,52,3170,1.0,0.2854899524025239
2024-04-09,-0.04455518952547767,-0.05417973936980183,59,3149,1.0,0.2416204009338739
2024-04-10,-0.10953111865340409,-0.1007704589555278,29,3178,1.0,0.2055121212841503
2024-04-11,-0.05681439229021508,-0.034326382261454194,44,3179,1.0,0.3257190542869678
2024-04-12,-0.0710922284287558,-0.061900183388624776,56,3206,1.0,0.390599857254238
2024-04-15,-0.06007930293020823,-0.0628272392739956,25,3262,1.0,0.0
2024-04-16,-0.10203867184089788,-0.12325316648160653,19,3349,1.0,0.2013341421066118
2024-04-17,-0.00016768229191072015,0.002239284665144628,232,3266,1.0,0.7872019461283793
2024-04-18,-0.03519170276211245,-0.03468718663776729,62,3264,1.0,0.2879002366244692
2024-04-19,-0.07054687851275813,-0.06823427988486153,55,3279,1.0,0.2602515568644357
2024-04-22,-0.055135827411635016,-0.05720304435768206,53,3281,1.0,0.1885560359739436
2024-04-23,-0.0413711754854597,-0.03205735024197506,46,3265,1.0,0.295509972935786
2024-04-24,-0.021007202583666038,-0.012455559356367864,46,3242,1.0,0.3082647433398597
2024-04-25,-0.05113125132269857,-0.04300724253804476,38,3235,1.0,0.3868874579350543
2024-04-26,-0.011980204256209126,-0.015354360589173808,70,3196,1.0,0.3035083275213219
2024-04-29,0.014579846500122739,0.01981290417973617,109,3139,1.0,0.4874761376205302
2024-04-30,-0.03252918880325301,-0.04094988810657643,54,3129,1.0,0.272609097807993
2024-05-06,-0.02458442363284688,-0.025967542047452885,86,3092,1.0,0.4717285441349177
2024-05-07,-0.04700407488984992,-0.050324662509590334,55,3073,1.0,0.3424744240382531
2024-05-08,-0.07370623219337816,-0.06780881993161661,46,3106,1.0,0.3233911835551749
2024-05-09,-0.07858284257417891,-0.0738187838914516,52,3083,1.0,0.4125249928228042
2024-05-10,-0.024430043626374076,-0.024765886726494657,37,3106,1.0,0.1770240103255626
2024-05-13,-0.05548000770093495,-0.05073973325358752,28,3128,1.0,0.1970414577783828
2024-05-14,-0.04907875044708056,-0.04902399621683941,48,3109,1.0,0.2998139365627326
2024-05-15,-0.0717659131690296,-0.07021821791015882,31,3123,1.0,0.2207018022237179
2024-05-16,-0.06704192296489728,-0.07192908561805655,41,3116,1.0,0.2920072349633464
2024-05-17,-0.08627426801596182,-0.0968518765840612,75,3091,1.0,0.601749036576793
2024-05-20,-0.08005458026273123,-0.082419077422152,42,3080,1.0,0.2702227759047774
2024-05-21,-0.056012751770389724,-0.06145694474991781,19,3094,1.0,0.1290540022863765
2024-05-22,-0.10036828518108967,-0.11725697598413368,39,3089,1.0,0.3240590362109836
2024-05-23,-0.11769142549904613,-0.12864132428167022,27,3130,1.0,0.3422783916539056
2024-05-24,-0.0653293518346115,-0.07159045668698705,38,3162,1.0,0.3063176157431715
2024-05-27,-0.061493010496014716,-0.06843700899898289,41,3143,1.0,0.2434624855530579
2024-05-28,-0.06681011492057966,-0.06545313594780068,28,3160,1.0,0.2313955949800017
2024-05-29,-0.08578835478975817,-0.08050552536921816,30,3172,1.0,0.1837657244239688
2024-05-30,-0.024807868358112314,-0.05147578178820873,28,3174,1.0,0.2372463002459558
2024-05-31,-0.034113691687788425,-0.03596923423091973,28,3163,1.0,0.2500235345153842
2024-06-03,-0.005814952771869393,-0.07677702171654491,16,3192,1.0,0.1906440703253177
