BP,reversal,lowvol,ROE,IC均值,ICIR,IC>0占比
0.4,0.4,0.0,0.2,0.08153056480961134,0.6979510656217529,0.73
0.1,0.65,0.1,0.15000000000000002,0.07753050075193936,0.6979222346055095,0.75
0.35000000000000003,0.35000000000000003,0.1,0.2,0.08815489514790416,0.6977893356481484,0.74
0.05,0.4,0.25,0.30000000000000004,0.08279716600446575,0.6976069444537212,0.72
0.35000000000000003,0.4,0.0,0.25,0.08002371320203026,0.6975366739342782,0.73
0.15000000000000002,0.75,0.1,0.0,0.07690265870208769,0.6974536479703535,0.73
0.0,0.65,0.2,0.15000000000000002,0.07776156023392475,0.6972688825221455,0.74
0.05,0.65,0.15000000000000002,0.15000000000000002,0.0778552630952586,0.697078793881289,0.74
0.15000000000000002,0.6000000000000001,0.05,0.2,0.07672208141932119,0.6969184777152989,0.73
0.1,0.35000000000000003,0.4,0.15000000000000002,0.0921255666652112,0.696886412599131,0.74
0.05,0.55,0.15000000000000002,0.25,0.07781415176929281,0.696871827525688,0.74
0.25,0.65,0.0,0.1,0.07582608791712095,0.6967368752236164,0.73
0.05,0.45,0.2,0.30000000000000004,0.07991554910271634,0.6966017144740182,0.71
0.15000000000000002,0.55,0.05,0.25,0.07667486457360581,0.696411275510976,0.74
0.35000000000000003,0.65,0.0,0.0,0.07643235687319701,0.6961978738188984,0.74
0.35000000000000003,0.4,0.2,0.05,0.09029790502044413,0.6959796706000643,0.72
0.4,0.6000000000000001,0.0,0.0,0.0775824474167361,0.6959095776561512,0.74
0.2,0.4,0.4,0.0,0.09194960104756326,0.6956273909887981,0.75
0.15000000000000002,0.35000000000000003,0.2,0.30000000000000004,0.08618153362870876,0.6956046805083373,0.75
0.0,0.4,0.55,0.05,0.08837516488718336,0.6955847964139713,0.74
