rebalance_date,stock_code,weight,raw_score,industry,circ_mv
2024-01-31,300873.SZ,0.0125,84.7084651701176,仓储物流,267174.5699
2024-01-31,300121.SZ,0.0125,79.85762661530701,化工原料,291894.1899
2024-01-31,603020.SH,0.0125,75.45253764439866,食品,266350.2529
2024-01-31,300120.SZ,0.0125,74.9817663441529,元器件,281514.271
2024-01-31,603948.SH,0.0125,72.73918353686616,化工原料,290429.26
2024-01-31,002255.SZ,0.0125,70.31669880481091,专用机械,292862.3716
2024-01-31,300265.SZ,0.0125,69.67989039034336,电气设备,297668.893
2024-01-31,603898.SH,0.0125,67.74707963485751,家居用品,278598.609
2024-01-31,002303.SZ,0.0125,66.10979009146169,造纸,281787.3395
2024-01-31,603217.SH,0.0125,65.21131900917683,化工原料,286781.1408
2024-01-31,603339.SH,0.0125,64.7489993916868,专用机械,295825.7633
2024-01-31,300439.SZ,0.0125,64.05493960990206,医疗保健,269253.3382
2024-01-31,603797.SH,0.0125,62.12459539062972,环境保护,285639.3367
2024-01-31,000055.SZ,0.0125,61.68203612408305,其他建材,280479.588
2024-01-31,300100.SZ,0.0125,60.41563056429945,汽车配件,284878.2826
2024-01-31,002225.SZ,0.0125,59.012785085432526,其他建材,270763.2987
2024-01-31,002328.SZ,0.0125,55.30925999306295,汽车配件,272154.9101
2024-01-31,603165.SH,0.0125,53.24234221582098,造纸,284278.3328
2024-01-31,002452.SZ,0.0125,49.774296745553535,电气设备,277556.777
2024-01-31,002674.SZ,0.0125,48.841047663669144,纺织,288866.652
2024-01-31,601956.SH,0.0125,48.64347756008244,家用电器,294860.1568
2024-01-31,002580.SZ,0.0125,47.96697459512038,电气设备,297534.2117
2024-01-31,300193.SZ,0.0125,47.591753661530525,专用机械,272476.4309
2024-01-31,300384.SZ,0.0125,46.6330302964548,建筑工程,271299.4067
2024-01-31,600665.SH,0.0125,46.34525254709593,全国地产,276519.2067
2024-01-31,300430.SZ,0.0125,46.31846024515307,电器仪表,274679.7783
2024-01-31,300880.SZ,0.0125,45.624039089630195,电器仪表,267333.6614
2024-01-31,300695.SZ,0.0125,45.16773445484456,汽车配件,296061.2857
2024-01-31,688358.SH,0.0125,44.51974649529969,医疗保健,291075.2981
2024-01-31,002521.SZ,0.0125,43.17961695830617,造纸,286009.1452
2024-01-31,601996.SH,0.0125,42.67201478812929,家居用品,272658.2264
2024-01-31,003016.SZ,0.0125,42.06402947343567,服饰,298736.4002
2024-01-31,603808.SH,0.0125,39.31846252519794,服饰,286785.1662
2024-01-31,000407.SZ,0.0125,39.175908369195525,供气供热,285500.1763
2024-01-31,002638.SZ,0.0125,38.40130671176846,家用电器,285570.5739
2024-01-31,002688.SZ,0.0125,36.908619500187164,农业综合,289084.7804
2024-01-31,300592.SZ,0.0125,36.584376670689124,互联网,278971.2134
2024-01-31,601616.SH,0.0125,35.74596093492467,电气设备,265703.3
2024-01-31,003019.SZ,0.0125,35.52536243758027,元器件,274819.2207
2024-01-31,603633.SH,0.0125,35.282229159442366,汽车配件,289377.7346
2024-01-31,300434.SZ,0.0125,33.858341782550134,化学制药,287070.1733
2024-01-31,603507.SH,0.0125,32.88872982934763,电气设备,293009.8168
2024-01-31,002264.SZ,0.0125,32.706831157953445,互联网,287001.273
2024-01-31,002651.SZ,0.0125,32.04739285737328,航空,295172.0206
2024-01-31,301087.SZ,0.0125,31.951110425230254,医疗保健,273081.5688
2024-01-31,605066.SH,0.0125,31.818419357270063,电气设备,295136.0
2024-01-31,300566.SZ,0.0125,30.784266520657873,元器件,290953.4483
2024-01-31,603768.SH,0.0125,30.323273931354876,汽车配件,275808.0
2024-01-31,002940.SZ,0.0125,30.01789576538189,化学制药,290882.4848
2024-01-31,300504.SZ,0.0125,30.00123455355899,通信设备,284253.5237
2024-01-31,300619.SZ,0.0125,29.641657520963005,专用机械,294843.1273
2024-01-31,688589.SH,0.0125,27.335801780887458,半导体,283710.1422
2024-01-31,002990.SZ,0.0125,27.096311615092066,软件服务,291302.4646
2024-01-31,300911.SZ,0.0125,24.131674511984667,家用电器,277222.9894
2024-01-31,300590.SZ,0.0125,24.039759097306064,通信设备,291252.3359
2024-01-31,002783.SZ,0.0125,23.253580082555114,化工原料,273519.2729
2024-01-31,300320.SZ,0.0125,21.514540755539297,橡胶,284572.968
2024-01-31,300718.SZ,0.0125,21.101331702410175,机械基件,267487.8889
2024-01-31,603967.SH,0.0125,20.517004800489293,仓储物流,295360.0369
2024-01-31,002824.SZ,0.0125,16.504476913923362,铝,265764.166
2024-01-31,300206.SZ,0.0125,15.745523995981348,医疗保健,284265.7843
2024-01-31,002614.SZ,0.0125,14.340332749956508,家用电器,286655.0694
2024-01-31,688179.SH,0.0125,14.08957363449527,化学制药,268863.6014
2024-01-31,002329.SZ,0.0125,13.742879547646897,乳制品,295737.9521
2024-01-31,002330.SZ,0.0125,13.354758536343558,食品,289006.3153
2024-01-31,603739.SH,0.0125,12.614374678888518,农业综合,275042.3773
2024-01-31,002979.SZ,0.0125,12.1813671789963,专用机械,299515.8632
2024-01-31,300864.SZ,0.0125,10.993006332677297,环境保护,276126.24
2024-01-31,002870.SZ,0.0125,9.733218681066925,汽车配件,295347.4612
2024-01-31,300908.SZ,0.0125,9.696766275830736,食品,284604.9824
2024-01-31,000972.SZ,0.0125,9.358935101731781,食品,268406.6855
2024-01-31,000862.SZ,0.0125,8.90716253123028,新型电力,287275.206
2024-01-31,603856.SH,0.0125,8.153652511516448,塑料,282568.8892
2024-01-31,300248.SZ,0.0125,6.928130125168497,软件服务,276302.7258
2024-01-31,000576.SZ,0.0125,6.378047768795852,电气设备,291004.1346
2024-05-31,002932.SZ,0.012499999999999999,131.81932271755358,医疗保健,295313.1246
2024-05-31,600467.SH,0.012499999999999999,121.03702075962413,渔业,277588.9178
2024-05-31,002614.SZ,0.012499999999999999,111.00816712953583,家用电器,286657.9996
